,content,id,lat,location,lon,time,user,user_id
258,"RT @JonathanCohn: Everything Wrong With the Democrats, in One Bill  https://t.co/vVbwe84qVT",971525199853219840,,Other Location in US,,2018-03-07 23:17:12,JoeyDaniewicz,67145272
259,$0.15 EPS Expected for Landec Corporation (LND...,971525198607519744,,"Boston, MA",,2018-03-07 23:17:12,wosaikeneriki,114274155
26,Love drinking on an empty stomach. Get drunk quicker and then the food be bomb,971525436063801344,,"Boston, MA",,2018-03-07 23:18:08,1Dor_,126990983
260,@jameswester If you wanna talk to us about an issue with your direct deposit you can like tweet at us,971525198586548224,,Other Location,,2018-03-07 23:17:12,jordanhmckee,263463037
261,"RT @BethFratesMD: Hopefully you will find some ""me time"" today to just do something you love or to enjoy your own company.

#WednesdayWisdo…",971525198179643392,,Other Location,,2018-03-07 23:17:11,kile_guevara,834964305057570816
264,"«course, because that was his way? That I would find it similar to talking to a wall but I would try and then at least when I went to»",971525196820697088,,"Boston, MA",,2018-03-07 23:17:11,ArduousIntent,862047057917431808
265,@kylepinion Looks more lowercase lately,971525195969245184,,"Boston, MA",,2018-03-07 23:17:11,AmokOrbits,280813703
266,Huge get for the @BostonGlobe https://t.co/I2FuTEn446,971525195235196928,,"Boston, MA",,2018-03-07 23:17:11,johnguilfoil,112073654
268,"@PaytonBarnwell @RobotMakerGirl @medialab Aww thank you! There are other students involved, but I can't say much mo… https://t.co/NbClbARO6S",971525193813413888,,"Boston, MA",,2018-03-07 23:17:10,Supernova_Style,787461596763258880
269,#NowPlaying Glory [znu] - Lil Wayne solo por https://t.co/iuA5Dtlnem,971525192261558272,,"Boston, MA",,2018-03-07 23:17:10,Fuerza943fm,86364046
270,"@ my biochem professor: if you're going to tell us the average of the exam, you should probably release individual grades. Thx.",971525189950427136,,"Cambridge, MA",,2018-03-07 23:17:10,taggrey,392954253
271,"Rothco | Wholesale Military, Tactical, Outdoor Clothing and Gear https://t.co/fC7DGwfM5V",971525188255850496,,"Boston, MA",,2018-03-07 23:17:09,CopGear1,872539550245060608
273,"RT @INFORMS_at_NU: You asked and now its here!! 
Come and join us to learn the most interesting and powerful machine learning technique rig…",971525188142628864,,"Boston, MA",,2018-03-07 23:17:09,shamik_gaitonde,1021783176
274,Can’t wait to try this teaaaa !,971525186578198528,,"Boston, MA",,2018-03-07 23:17:09,A_thugga_,2152584689
275,@OhShaun Love to be famous with the lads,971525184434987008,,"Boston, MA",,2018-03-07 23:17:08,marcformarc,39780359
276,Can’t wait to finish editing Fulcrum Files so I can start the TLJ novel :),971525180643299328,,"Boston, MA",,2018-03-07 23:17:07,crerrity,377507579
278,#IfIHadASuperpower I would redistribute wealth so that everyone would have enough to live without fear.,971525180517470208,,"Boston, MA",,2018-03-07 23:17:07,_is_depression,961634781267144704
279,"GO FORTH, MY BEAUTIFUL. BLANKET THE NORTHEAST WITH WRATH IN MY NAME!

Also, make sure there's good skiing when you'… https://t.co/vCndWASdA9",971525180332892160,,"Boston, MA",,2018-03-07 23:17:07,BOSTrophyWife,788029031010725888
28,"RT @HelenBranswell: With @CDCgov barred by Congress from researching gun violence, the American Public Health Association decides to move a…",971525432393658368,,Other Location,,2018-03-07 23:18:07,Gummi_Gal,760169985805127680
280,RT @Jentroidvania: Made a new Samus sprite... ✌💖 #PixelArt #Gaming #Metroid https://t.co/LRciNNE1cF,971525178328059904,,Other Location,,2018-03-07 23:17:07,GuildedMiddy,730504444513652736
281,"RT @booktoss: If you are wondering what can take the place of ""Part Time Indian"" ... here are some things to think about .... @nerdybookclu…",971525177967292416,,Other Location in US,,2018-03-07 23:17:07,CourtneyFayeJ,254338384
282,@insane0042 Sandwich style!,971525177686315008,,"Boston, MA",,2018-03-07 23:17:07,TheAmyzonian,4113137997
283,@ericfisher I want to hear that Thunder snow in Watertown 😁🙏🏻,971525177661100032,,"Boston, MA",,2018-03-07 23:17:07,zilli004,309955509
284,@IrwinLuh @LeafsAngela @PlstcPddy  https://t.co/Kyk7KL1ayq,971525177531125760,,"Boston, MA",,2018-03-07 23:17:07,kdriley05,458757597
287,@pankajdoharey @ARanganathan72 That's exactly what is called regressive patriarchy.,971525174951579648,,"Cambridge, MA",,2018-03-07 23:17:06,unknowncorner,78210838
